ABED, 0
ABET, 1
ABID, 2
ABLE, 1
ABLY, 1
ABOS, 2
ABRI, 3
ABUT, 4
ABYE, 2
ABYS, 2
ACED, 3
ACER, 2
ACES, 3
ACHE, 1
ACHY, 1
ACID, 3
ACME, 2
ACNE, 3
ACRE, 4
ACTS, 2
ACYL, 2
ADIT, 2
ADOS, 3
ADRY, 4
ADZE, 1
AEON, 2
AERO, 3
AERY, 3
AESC, 2
AFRO, 2
AGED, 4
AGEN, 4
AGER, 4
AGES, 5
AGIN, 3
AGIO, 3
AGLU, 4
AGLY, 3
AGON, 3
AGUE, 2
AHED, 5
AHEM, 5
AHIS, 2
AHOY, 3
AIDE, 2
AIDS, 3
AILS, 4
AIMS, 5
AINE, 3
AINS, 4
AIRN, 4
AIRS, 5
AIRT, 6
AIRY, 4
AITS, 6
AITU, 5
AKED, 6
AKES, 6
AKIN, 4
ALBE, 2
ALBS, 3
ALCO, 3
ALEC, 2
ALEF, 3
ALES, 4
ALEW, 5
ALFS, 4
ALIF, 5
ALIT, 5
ALKO, 4
ALKY, 4
ALME, 4
ALMS, 4
ALOD, 3
ALOE, 5
ALOW, 4
ALPS, 5
ALSO, 5
ALTO, 6
ALTS, 6
ALUM, 5
ALUS, 7
AMBO, 4
AMEN, 6
AMES, 6
AMID, 3
AMIE, 4
AMIN, 5
AMIR, 5
AMIS, 5
AMOK, 5
AMPS, 6
AMUS, 6
AMYL, 4
ANCE, 2
ANDS, 3
ANES, 5
ANEW, 6
ANIL, 4
ANIS, 5
ANKH, 3
ANOW, 4
ANTE, 5
ANTI, 5
ANTS, 6
ANUS, 6
APED, 7
APER, 5
APES, 7
APEX, 7
APOD, 4
APOS, 6
APSE, 5
APSO, 5
APTS, 5
ARBS, 4
ARCH, 2
ARCO, 4
ARCS, 3
ARDS, 4
ARED, 8
AREG, 3
ARES, 4
ARET, 5
AREW, 6
ARFS, 3
ARGH, 4
ARID, 3
ARIL, 5
ARIS, 5
ARKS, 6
ARLE, 5
ARMS, 7
ARMY, 5
AROW, 4
ARSE, 6
ARSY, 3
ARTI, 6
ARTS, 8
ARTY, 3
ARUM, 7
ARVO, 3
ARYL, 5
ASCI, 3
ASHY, 2
ATES, 8
ATOC, 4
ATOK, 6
ATOM, 6
